Producto;Marca;Qmerged_label;Precio;Valor_inicial
Leche semidesnatada;Lauki;11;0.75;0
Leche semidesnatada;Asturiana;12;0.76;0
Leche semidesnatada;President;13;0.69;0
Huevos L;Alcampo;21;1.44;0
Huevos L;Pazo de Vilane;22;2.98;0
Huevos L;La Granja de Sauri;23;2.23;0
Arroz redondo;SOS;31;1.52;0
Arroz redondo;Alcampo;32;0.72;0
Arroz redondo;La Fallera;33;1.34;0
Filetes de pollo;Uvesa;41;3.78;0
Filetes de pollo;Alcampo;42;5.71;0
Filetes de pollo;Norave;43;3.13;0
Cereales chocolate;Nesquik;51;2.35;0
Cereales chocolate;Kellogs;52;3.45;0
Cereales chocolate;Muesli Alcampo;53;1.99;0
Cereales chocolate;Chocapic;54;2.84;0
Zumo Naranja;Don Simon;61;1.1;0
Zumo Naranja;Alcampo;62;1.25;0
Zumo Naranja;Disfruta;63;0.99;0
Champu;H&S;71;1.01;0
Champu;Pantene;72;0.98;0
Champu;Fructis;73;0.9;0
Champu;Garnier;74;0.84;0
Jamon serrano lonchas;Alcampo;81;1.45;0
Jamon serrano lonchas;Navidul;82;1.98;0
Jamon serrano lonchas;Argak;83;2.38;0
Café molido;Marcilla;91;3.7;0
Café molido;Alcampo;92;1.18;0
Café molido;La Estrella;93;1.61;0
Pizza jamon y queso;Buitoni Forno di Pietra;101;3.09;0
Pizza jamon y queso;Dr. Oetket Ristorante;102;3.25;0
Pizza jamon y queso;La niña del sur;103;2.29;0
Aceitunas verdes ;Alcampo;111;1.83;0
Aceitunas verdes ;La Española;112;1.48;0
Aceitunas verdes ;Excelencia;113;0.89;0
Cerveza;Alhambra premium;121;3.12;0
Cerveza;Mahou clásica;122;3.36;0
Cerveza;Voll-damm;123;4.62;0
Cerveza;San Miguel especial;124;3.3;0
Aceite de oliva;Hojiblanca;131;2.75;0
Aceite de oliva;Alcampo;132;3.54;0
Aceite de oliva;La Española;133;3.6;0
Pan de molde;Bimbo;141;1.97;0
Pan de molde;Alcampo;142;0.94;0
Pan de molde;Panrico;142;1.88;0
Espaguettis;Gallo al huevo;151;1.26;0
Espaguettis;Alcampo;152;0.43;0
Espaguettis;Gallo;153;0.83;0
Espaguettis;Barilla;154;1.23;0
