"","date","ciudad","tiempo_dep_day","profundo","tot_dormir"
"1","2018-11-05","Europe/Madrid",122,286,477
"2","2018-11-07","Europe/Madrid",33,257,489
"3","2018-11-09","Europe/Madrid",34,329,546
"4","2018-11-17","Europe/Madrid",7,157,453
"5","2018-11-18","Europe/Madrid",44,232,427
"6","2018-11-21","Europe/Madrid",124,222,412
"7","2018-11-22","Europe/Madrid",42,326,538
"8","2018-11-26","Europe/Madrid",134,203,450
"9","2018-11-27","Europe/Madrid",60,210,402
"10","2018-11-28","Europe/Madrid",126,192,461
"11","2018-12-05","Europe/Madrid",61,255,532
"12","2018-12-06","Europe/Madrid",40,230,542
"13","2018-12-07","Europe/Madrid",8,388,559
"14","2019-02-18","Europe/Madrid",36,257,460
"15","2019-02-19","Europe/Rome",16,201,283
"16","2019-02-21","Europe/Rome",192,223,363
"17","2019-02-22","Europe/Rome",200,173,401
"18","2019-02-23","Europe/Rome",260,57,87
"19","2019-02-23","Europe/Rome",260,203,414
"20","2019-02-25","Europe/Madrid",25,309,456
"21","2019-02-26","Europe/Madrid",4,243,421
"22","2019-02-27","Europe/Madrid",37,215,468
"23","2019-02-28","Europe/Madrid",39,207,437
"24","2019-03-01","Europe/Madrid",94,263,515
"25","2019-03-02","Europe/Madrid",120,268,520
"26","2019-03-04","Europe/Madrid",25,200.016666666667,389
"27","2019-03-06","Europe/Madrid",26,198,372
"28","2019-03-08","Europe/Madrid",34,126,321
"29","2019-03-08","Europe/Madrid",34,214,508
"30","2019-03-12","Europe/Madrid",5,200,351
"31","2019-03-13","Europe/Madrid",6,245,466
"32","2019-03-14","Europe/Madrid",18.9833333333333,217,509
"33","2019-03-16","Europe/Madrid",8,259,490
"34","2019-03-17","Europe/Madrid",5,283,515
"35","2019-03-18","Europe/Madrid",32,290,427
"36","2019-03-19","Europe/Amsterdam",60,259,442
"37","2019-03-19","Europe/Madrid",8,259,442
"38","2019-03-20","Europe/Amsterdam",36,258,416
"39","2019-03-21","Europe/Amsterdam",71,227,393
"40","2019-03-23","Europe/Amsterdam",33,181,396
"41","2019-03-23","Europe/Amsterdam",33,313,552
"42","2019-03-25","Europe/Madrid",21,310,502
"43","2019-03-26","Europe/Madrid",141,337,481
"44","2019-03-27","Europe/Madrid",28,244,457
"45","2019-03-28","Europe/Madrid",5,255.983333333333,433
"46","2019-03-29","Europe/Madrid",68,299,534
"47","2019-03-30","Europe/Madrid",158,264,478
"48","2019-03-31","Europe/Madrid",70,260,510
"49","2019-04-01","Europe/Madrid",38,222,413
"50","2019-04-02","Europe/Madrid",57,229,444
"51","2019-04-03","Europe/Madrid",28,246,369
"52","2019-04-05","Europe/Amsterdam",41,230,408
"53","2019-04-10","Europe/Madrid",35,206,475
"54","2019-04-11","Europe/Madrid",39,251,466
"55","2019-04-12","Europe/Madrid",4,294,427
"56","2019-04-13","Europe/Madrid",51,315,551
"57","2019-04-14","Europe/Madrid",6,254,500
"58","2019-04-18","Europe/Amsterdam",56,345.016666666667,605
"59","2019-04-19","Europe/Amsterdam",59,314,455
"60","2019-04-20","Europe/Amsterdam",38,257,444
"61","2019-04-22","Europe/Madrid",85,275,528
"62","2019-04-23","Europe/Madrid",89.2333333333333,277,429
"63","2019-04-24","Europe/Madrid",10.3333333333333,257,442
"64","2019-04-25","Europe/Madrid",18,202,409
"65","2019-04-26","Europe/Madrid",12,316,493
"66","2019-04-27","Europe/Madrid",105.183333333333,336,457
"67","2019-05-07","Europe/Amsterdam",28,174,345.983333333333
"68","2019-05-13","Europe/Madrid",4,275,460
"69","2019-05-14","Europe/Madrid",14,273,517
"70","2019-05-15","Europe/Amsterdam",26,237,424
"71","2019-05-17","Europe/Madrid",11,254,448
"72","2019-05-18","Europe/Amsterdam",17,267,579
"73","2019-05-19","Europe/Amsterdam",30,243,393
"74","2019-05-20","Europe/Amsterdam",19,281,466
"75","2019-05-21","Europe/Amsterdam",8,160,347
"76","2019-05-22","Europe/Amsterdam",46,262.016666666667,441
"77","2019-05-24","Europe/Amsterdam",14,246,504
"78","2019-05-26","Europe/Amsterdam",36,156,369
"79","2019-06-07","Europe/Madrid",74,234,460
"80","2019-06-09","Europe/Madrid",140,191,348
"81","2019-06-10","Europe/Madrid",67,206,443
"82","2019-06-11","Europe/Madrid",4,309,517
"83","2019-06-12","Europe/Madrid",36,187,391
"84","2019-06-17","Europe/Madrid",13,170,475
"85","2019-06-18","Europe/Madrid",15,175,319
"86","2019-06-19","Europe/Madrid",62,198,384
"87","2019-06-23","Europe/Madrid",49,163,359
"88","2019-06-28","Europe/Madrid",10,73,173
"89","2019-07-17","Europe/Amsterdam",57,191,350
"90","2019-07-18","Europe/Amsterdam",4,229,401
"91","2019-07-21","Europe/Amsterdam",17,68,245.983333333333
"92","2019-07-21","Europe/Amsterdam",17,233,439.983333333333
"93","2019-07-23","Europe/Amsterdam",18,237,467
"94","2019-07-24","Europe/Amsterdam",30,187,395
"95","2019-07-26","Europe/Amsterdam",59,241,486
"96","2019-08-10","Europe/Madrid",34,257,421
"97","2019-08-12","Europe/Madrid",18.1333333333333,189,446
"98","2019-08-13","Europe/Madrid",13.3166666666667,256,550
"99","2019-08-15","Europe/Amsterdam",17,262,460
"100","2019-08-19","Europe/Amsterdam",36,176,435
"101","2019-08-20","Europe/Amsterdam",5,218,425
"102","2019-08-21","Europe/Amsterdam",19,161,326
"103","2019-08-22","Europe/Amsterdam",36,213,467
"104","2019-08-23","Europe/Amsterdam",20,205,368
"105","2019-08-26","Europe/Amsterdam",48,191,478
"106","2019-08-29","Europe/Amsterdam",30,129,418.983333333333
"107","2019-08-30","Europe/Amsterdam",77,182,405
"108","2019-09-01","Europe/Amsterdam",9,167,378
"109","2019-09-02","Europe/Amsterdam",19,226,426
"110","2019-09-03","Europe/Amsterdam",20,200,442
"111","2019-09-04","Europe/Amsterdam",7,253,417
"112","2019-09-16","Europe/Madrid",42,134,308
"113","2019-09-16","Europe/Madrid",42,230,493
"114","2019-09-17","Europe/Madrid",49,259,492
"115","2019-09-18","Europe/Madrid",44,207.983333333333,373
"116","2019-09-20","Europe/Amsterdam",117,275,596
"117","2019-09-21","Europe/Madrid",31,157,362
"118","2019-09-23","Europe/Madrid",12,260,504
"119","2019-09-25","Europe/Amsterdam",26,200,444
"120","2019-09-28","Europe/Amsterdam",26,137,423
